[sst] pretrained /users/3/a1832453/yolox_s.pth: loaded 456 tensors, skipped 6 (expected: the 80-class predictors) e.g. ['head.cls_preds.0.weight', 'head.cls_preds.0.bias', 'head.cls_preds.1.weight']
[sst] params 8.94 M | optimizer covers 8.94 M | group0: 0.01 M wd=0, group1: 8.91 M wd=0.0005, group2: 0.01 M wd=0
[sst] repo-setting switches: flip=True norm=yolox amp=False clip=0.0 wd_all=False
[sst] train 8982 frames, 2245 steps/epoch (1/1 of 2245); val 4795 frames
[sst] LR by epoch: ep0=6.25e-05  ep1=0.000125  ep2=0.000313  ep3=0.000625  ep4=0.000625  ep50=0.000305  ep94=6.43e-06  ep95=6.25e-06  ep99=6.25e-06
[sst] ep45/100 lr 3.68e-04 loss 0.963 val_loss 5.747 | COCO AP50 75.01 Pr 98.74 Re 76.75 F1 86.36 | VOC AP50 75.43 | 1.8 min 
[sst] ep46/100 lr 3.58e-04 loss 0.972 val_loss 5.716 | COCO AP50 75.08 Pr 98.83 Re 76.75 F1 86.40 | VOC AP50 75.50 | 1.8 min 
[sst] ep47/100 lr 3.47e-04 loss 0.934 val_loss 5.777 | COCO AP50 74.96 Pr 98.69 Re 76.25 F1 86.03 | VOC AP50 75.04 | 1.8 min 
[sst] ep48/100 lr 3.37e-04 loss 0.924 val_loss 5.835 | COCO AP50 74.28 Pr 99.03 Re 75.93 F1 85.96 | VOC AP50 74.83 | 1.8 min 
[sst] ep49/100 lr 3.26e-04 loss 0.911 val_loss 5.852 | COCO AP50 74.22 Pr 98.97 Re 75.56 F1 85.69 | VOC AP50 74.51 | 1.8 min 
[sst] ep50/100 lr 3.16e-04 loss 0.909 val_loss 5.872 | COCO AP50 74.21 Pr 98.94 Re 75.93 F1 85.92 | VOC AP50 74.76 | 1.8 min 
[sst] ep51/100 lr 3.05e-04 loss 0.874 val_loss 5.850 | COCO AP50 75.02 Pr 98.76 Re 76.27 F1 86.07 | VOC AP50 75.11 | 1.8 min 
[sst] ep52/100 lr 2.95e-04 loss 0.867 val_loss 5.828 | COCO AP50 75.08 Pr 98.79 Re 76.64 F1 86.32 | VOC AP50 75.43 | 1.8 min 
[sst] ep53/100 lr 2.84e-04 loss 0.850 val_loss 5.846 | COCO AP50 74.97 Pr 98.66 Re 76.45 F1 86.15 | VOC AP50 75.19 | 1.8 min 
[sst] ep54/100 lr 2.73e-04 loss 0.858 val_loss 5.994 | COCO AP50 74.06 Pr 98.73 Re 75.47 F1 85.55 | VOC AP50 74.28 | 1.8 min 
[sst] ep55/100 lr 2.63e-04 loss 0.828 val_loss 6.218 | COCO AP50 73.01 Pr 98.64 Re 74.39 F1 84.82 | VOC AP50 73.16 | 1.8 min 
[sst] ep56/100 lr 2.53e-04 loss 0.806 val_loss 6.283 | COCO AP50 72.18 Pr 98.81 Re 73.97 F1 84.61 | VOC AP50 72.75 | 1.8 min 
[sst] ep57/100 lr 2.42e-04 loss 0.795 val_loss 6.231 | COCO AP50 72.95 Pr 98.56 Re 74.33 F1 84.74 | VOC AP50 73.04 | 1.8 min 
[sst] ep58/100 lr 2.32e-04 loss 0.776 val_loss 6.198 | COCO AP50 72.93 Pr 98.53 Re 74.74 F1 85.01 | VOC AP50 73.35 | 1.8 min 
[sst] ep59/100 lr 2.22e-04 loss 0.773 val_loss 6.075 | COCO AP50 73.77 Pr 98.35 Re 75.58 F1 85.47 | VOC AP50 74.06 | 1.8 min 
[sst] ep60/100 lr 2.12e-04 loss 0.760 val_loss 6.117 | COCO AP50 73.69 Pr 98.27 Re 75.14 F1 85.16 | VOC AP50 73.67 | 1.8 min 
[sst] ep61/100 lr 2.02e-04 loss 0.732 val_loss 6.152 | COCO AP50 73.68 Pr 98.25 Re 75.22 F1 85.21 | VOC AP50 73.71 | 1.8 min 
[sst] ep62/100 lr 1.92e-04 loss 0.729 val_loss 6.051 | COCO AP50 73.80 Pr 98.37 Re 75.93 F1 85.71 | VOC AP50 74.34 | 1.8 min 
[sst] ep63/100 lr 1.83e-04 loss 0.718 val_loss 6.044 | COCO AP50 74.54 Pr 98.11 Re 76.33 F1 85.86 | VOC AP50 74.66 | 1.8 min 
[sst] ep64/100 lr 1.73e-04 loss 0.694 val_loss 6.070 | COCO AP50 74.50 Pr 98.08 Re 76.02 F1 85.65 | VOC AP50 74.40 | 1.8 min 
[sst] ep65/100 lr 1.64e-04 loss 0.676 val_loss 6.023 | COCO AP50 74.51 Pr 98.09 Re 76.06 F1 85.68 | VOC AP50 74.45 | 1.8 min 
[sst] ep66/100 lr 1.55e-04 loss 0.660 val_loss 6.007 | COCO AP50 74.45 Pr 98.01 Re 76.08 F1 85.66 | VOC AP50 74.41 | 1.8 min 
[sst] ep67/100 lr 1.46e-04 loss 0.634 val_loss 6.071 | COCO AP50 73.73 Pr 98.31 Re 75.58 F1 85.46 | VOC AP50 74.03 | 1.8 min 
[sst] ep68/100 lr 1.37e-04 loss 0.642 val_loss 6.088 | COCO AP50 73.71 Pr 98.29 Re 75.64 F1 85.49 | VOC AP50 74.05 | 1.8 min 
[sst] ep69/100 lr 1.29e-04 loss 0.611 val_loss 6.133 | COCO AP50 73.64 Pr 98.19 Re 75.56 F1 85.40 | VOC AP50 73.92 | 1.8 min 
[sst] ep70/100 lr 1.20e-04 loss 0.589 val_loss 6.177 | COCO AP50 73.51 Pr 98.04 Re 75.22 F1 85.13 | VOC AP50 73.55 | 1.8 min 
[sst] ep71/100 lr 1.12e-04 loss 0.582 val_loss 6.185 | COCO AP50 73.45 Pr 97.96 Re 75.22 F1 85.10 | VOC AP50 73.49 | 1.8 min 
[sst] ep72/100 lr 1.04e-04 loss 0.574 val_loss 6.154 | COCO AP50 73.49 Pr 97.99 Re 75.66 F1 85.39 | VOC AP50 73.84 | 1.8 min 
[sst] ep73/100 lr 9.69e-05 loss 0.559 val_loss 6.190 | COCO AP50 73.48 Pr 97.98 Re 75.72 F1 85.43 | VOC AP50 73.87 | 1.8 min 
[sst] ep74/100 lr 8.95e-05 loss 0.536 val_loss 6.217 | COCO AP50 73.43 Pr 97.91 Re 75.60 F1 85.32 | VOC AP50 73.73 | 1.8 min 
[sst] ep75/100 lr 8.24e-05 loss 0.514 val_loss 6.240 | COCO AP50 73.36 Pr 97.83 Re 75.37 F1 85.14 | VOC AP50 73.50 | 1.8 min 
[sst] ep76/100 lr 7.56e-05 loss 0.504 val_loss 6.246 | COCO AP50 73.34 Pr 97.80 Re 75.14 F1 84.99 | VOC AP50 73.31 | 1.8 min 
[sst] ep77/100 lr 6.91e-05 loss 0.490 val_loss 6.254 | COCO AP50 73.34 Pr 97.82 Re 75.08 F1 84.95 | VOC AP50 73.28 | 1.8 min 
[sst] ep78/100 lr 6.29e-05 loss 0.480 val_loss 6.228 | COCO AP50 73.44 Pr 97.94 Re 75.25 F1 85.10 | VOC AP50 73.48 | 1.8 min 
[sst] ep79/100 lr 5.69e-05 loss 0.472 val_loss 6.235 | COCO AP50 73.46 Pr 97.97 Re 75.12 F1 85.04 | VOC AP50 73.43 | 1.8 min 
[sst] ep80/100 lr 5.13e-05 loss 0.459 val_loss 6.280 | COCO AP50 72.75 Pr 98.30 Re 74.83 F1 84.97 | VOC AP50 73.22 | 1.8 min 
[sst] ep81/100 lr 4.60e-05 loss 0.453 val_loss 6.311 | COCO AP50 72.77 Pr 98.32 Re 74.66 F1 84.87 | VOC AP50 73.12 | 1.8 min 
[sst] ep82/100 lr 4.09e-05 loss 0.438 val_loss 6.310 | COCO AP50 72.80 Pr 98.35 Re 74.68 F1 84.90 | VOC AP50 73.16 | 1.8 min 
[sst] ep83/100 lr 3.62e-05 loss 0.428 val_loss 6.304 | COCO AP50 72.82 Pr 98.37 Re 74.89 F1 85.04 | VOC AP50 73.34 | 1.8 min 
[sst] ep84/100 lr 3.19e-05 loss 0.420 val_loss 6.318 | COCO AP50 72.85 Pr 98.40 Re 74.79 F1 84.98 | VOC AP50 73.28 | 1.8 min 
[sst] ep85/100 lr 2.78e-05 loss 0.404 val_loss 6.343 | COCO AP50 72.86 Pr 98.42 Re 74.74 F1 84.96 | VOC AP50 73.25 | 1.8 min 
[sst] ep86/100 lr 2.41e-05 loss 0.404 val_loss 6.343 | COCO AP50 72.86 Pr 98.42 Re 74.85 F1 85.03 | VOC AP50 73.35 | 1.8 min 
[sst] ep87/100 lr 2.07e-05 loss 0.400 val_loss 6.359 | COCO AP50 72.86 Pr 98.41 Re 74.70 F1 84.93 | VOC AP50 73.24 | 1.8 min 
[sst] ep88/100 lr 1.77e-05 loss 0.394 val_loss 6.392 | COCO AP50 72.83 Pr 98.37 Re 74.60 F1 84.85 | VOC AP50 73.13 | 1.8 min 
[sst] ep89/100 lr 1.50e-05 loss 0.392 val_loss 6.418 | COCO AP50 72.82 Pr 98.36 Re 74.56 F1 84.82 | VOC AP50 73.08 | 1.8 min 
[sst] ep90/100 lr 1.27e-05 loss 0.386 val_loss 6.445 | COCO AP50 72.81 Pr 98.35 Re 74.49 F1 84.78 | VOC AP50 73.03 | 1.8 min 
[sst] ep91/100 lr 1.07e-05 loss 0.379 val_loss 6.461 | COCO AP50 72.81 Pr 98.35 Re 74.35 F1 84.68 | VOC AP50 72.93 | 1.8 min 
[sst] ep92/100 lr 9.13e-06 loss 0.382 val_loss 6.482 | COCO AP50 72.81 Pr 98.35 Re 74.31 F1 84.65 | VOC AP50 72.89 | 1.8 min 
[sst] ep93/100 lr 7.87e-06 loss 0.377 val_loss 6.504 | COCO AP50 72.81 Pr 98.36 Re 74.18 F1 84.58 | VOC AP50 72.80 | 1.8 min 
[sst] ep94/100 lr 6.97e-06 loss 0.378 val_loss 6.522 | COCO AP50 72.82 Pr 98.37 Re 74.12 F1 84.54 | VOC AP50 72.76 | 1.8 min 
[sst] ep95/100 lr 6.43e-06 loss 0.380 val_loss 6.541 | COCO AP50 72.82 Pr 98.37 Re 74.08 F1 84.51 | VOC AP50 72.74 | 1.8 min 
[sst] ep96/100 lr 6.25e-06 loss 0.374 val_loss 6.558 | COCO AP50 72.83 Pr 98.38 Re 74.01 F1 84.48 | VOC AP50 72.70 | 1.8 min 
[sst] ep97/100 lr 6.25e-06 loss 0.369 val_loss 6.576 | COCO AP50 72.09 Pr 98.65 Re 73.89 F1 84.49 | VOC AP50 72.61 | 1.8 min 
[sst] ep98/100 lr 6.25e-06 loss 0.381 val_loss 6.579 | COCO AP50 72.09 Pr 98.66 Re 73.85 F1 84.47 | VOC AP50 72.58 | 1.8 min 
[sst] ep99/100 lr 6.25e-06 loss 0.373 val_loss 6.578 | COCO AP50 72.11 Pr 98.67 Re 73.83 F1 84.46 | VOC AP50 72.58 | 1.8 min 
[sst] ep100/100 lr 6.25e-06 loss 0.377 val_loss 6.580 | COCO AP50 72.10 Pr 98.67 Re 73.79 F1 84.43 | VOC AP50 72.55 | 1.8 min 
