epoch,video,frames,ap50,recall,zero_det_frames
39,data11,745,96.92,97.45,12
39,data12,1500,100.00,100.00,0
39,data15,751,0.74,6.39,457
39,data18,500,95.91,97.40,10
39,data20,400,89.96,90.75,20
39,data21,500,7.41,29.20,102
40,data6,399,93.64,94.99,14
40,data11,745,96.75,97.45,14
40,data12,1500,100.00,100.00,0
40,data15,751,0.81,6.39,469
40,data18,500,95.69,97.00,12
40,data20,400,89.90,90.50,22
40,data21,500,9.51,33.00,93
41,data6,399,92.79,93.98,15
41,data11,745,95.94,96.91,15
41,data12,1500,100.00,100.00,0
41,data15,751,1.13,7.99,467
41,data18,500,95.85,97.20,11
41,data20,400,89.70,90.00,23
41,data21,500,9.31,33.00,96
42,data6,399,93.45,94.24,14
42,data11,745,96.69,97.05,14
42,data12,1500,100.00,100.00,0
42,data15,751,1.13,7.86,460
42,data18,500,96.09,97.00,12
42,data20,400,87.78,88.50,27
42,data21,500,6.33,28.80,101
43,data6,399,93.43,94.49,16
43,data11,745,96.76,97.18,16
43,data12,1500,100.00,100.00,0
43,data15,751,2.01,10.92,450
43,data18,500,96.06,97.00,12
43,data20,400,87.70,88.25,31
43,data21,500,5.52,26.20,105
44,data6,399,93.72,94.99,15
44,data11,745,96.87,97.45,15
44,data12,1500,100.00,100.00,0
44,data15,751,2.08,10.39,455
44,data18,500,96.06,97.00,11
44,data20,400,87.58,88.00,31
44,data21,500,6.09,28.40,99
45,data6,399,93.55,94.74,16
45,data11,745,96.85,97.18,16
45,data12,1500,100.00,100.00,0
45,data15,751,2.49,11.19,435
45,data18,500,95.40,96.80,13
45,data20,400,86.67,87.00,32
45,data21,500,7.98,32.40,102
46,data6,399,93.33,94.74,17
46,data11,745,96.74,97.05,17
46,data12,1500,100.00,100.00,0
46,data15,751,3.35,13.45,422
46,data18,500,95.27,96.60,15
46,data20,400,86.74,87.25,26
46,data21,500,7.56,29.20,127
47,data6,399,92.61,93.48,21
47,data11,745,95.99,96.51,21
47,data12,1500,100.00,100.00,0
47,data15,751,3.61,14.25,414
47,data18,500,94.98,96.40,15
47,data20,400,86.74,87.50,14
47,data21,500,5.73,25.00,154
48,data6,399,92.73,93.98,19
48,data11,745,95.99,96.78,19
48,data12,1500,100.00,100.00,0
48,data15,751,4.17,15.05,429
48,data18,500,94.85,96.00,15
48,data20,400,86.72,87.50,11
48,data21,500,4.05,20.40,178
49,data6,399,92.73,93.73,20
49,data11,745,96.00,96.64,20
49,data12,1500,100.00,100.00,0
49,data15,751,4.32,15.05,433
49,data18,500,94.96,96.40,12
49,data20,400,87.64,88.25,14
49,data21,500,2.62,16.20,204
50,data6,399,92.40,93.73,24
50,data11,745,95.96,96.64,24
50,data12,1500,100.00,100.00,0
50,data15,751,4.23,15.85,438
50,data18,500,95.19,96.40,12
