epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,32142.1,0.17577,0.75645,1.1554,0.98622,0.9542,0.98257,0.72317,0.15253,0.61733,1.06443,5.347e-05,5.347e-05,5.347e-05
96,32479,0.17917,0.76921,1.16042,0.98812,0.95165,0.98229,0.71847,0.15197,0.61647,1.06072,5.2975e-05,5.2975e-05,5.2975e-05
97,32837.2,0.17298,0.7689,1.14157,0.99205,0.95267,0.98469,0.72707,0.15155,0.61343,1.05677,5.248e-05,5.248e-05,5.248e-05
98,33174.3,0.18395,0.78889,1.18003,0.97047,0.95674,0.98178,0.73257,0.14625,0.62605,1.04806,5.1985e-05,5.1985e-05,5.1985e-05
99,33534.2,0.17482,0.78764,1.13925,0.96883,0.94915,0.98321,0.73067,0.14451,0.61568,1.04046,5.149e-05,5.149e-05,5.149e-05
100,33871.4,0.17556,0.76888,1.15936,0.96387,0.95025,0.98312,0.73355,0.14241,0.61117,1.03412,5.0995e-05,5.0995e-05,5.0995e-05
101,34231.1,0.17185,0.75082,1.14309,0.97394,0.95165,0.98165,0.72558,0.14398,0.60256,1.0375,5.05e-05,5.05e-05,5.05e-05
102,34568.6,0.17102,0.75875,1.14215,0.98939,0.94907,0.98443,0.72346,0.14804,0.61162,1.04794,5.0005e-05,5.0005e-05,5.0005e-05
103,34924.9,0.16827,0.77376,1.12453,0.98983,0.94148,0.98047,0.73127,0.14612,0.61381,1.04153,4.951e-05,4.951e-05,4.951e-05
104,35247.2,0.17555,0.75746,1.15473,0.98384,0.94911,0.98211,0.71751,0.14749,0.61304,1.05555,4.9015e-05,4.9015e-05,4.9015e-05
105,35492.8,0.17077,0.74447,1.1416,0.99494,0.94402,0.98472,0.72231,0.15333,0.6064,1.06374,4.852e-05,4.852e-05,4.852e-05
106,35734,0.17291,0.75756,1.13516,0.97156,0.95616,0.98301,0.72916,0.14505,0.60567,1.04219,4.8025e-05,4.8025e-05,4.8025e-05
107,35976.8,0.17963,0.79855,1.15256,0.98492,0.95674,0.98332,0.71862,0.15456,0.61612,1.0696,4.753e-05,4.753e-05,4.753e-05
108,36224,0.1714,0.75249,1.13588,0.98789,0.95674,0.98246,0.73433,0.14289,0.59616,1.034,4.7035e-05,4.7035e-05,4.7035e-05
109,36465.4,0.16934,0.72872,1.13448,0.98152,0.94584,0.98206,0.7275,0.14361,0.63075,1.03414,4.654e-05,4.654e-05,4.654e-05
110,36711,0.17379,0.75289,1.15187,0.98105,0.94656,0.98062,0.72267,0.14642,0.61355,1.04172,4.6045e-05,4.6045e-05,4.6045e-05
111,36949,0.17938,0.73491,1.1624,0.98404,0.95165,0.98422,0.72635,0.1508,0.6103,1.05373,4.555e-05,4.555e-05,4.555e-05
112,37195.2,0.17755,0.7705,1.15661,0.99203,0.94991,0.98429,0.72825,0.14954,0.60338,1.04831,4.5055e-05,4.5055e-05,4.5055e-05
113,37439.9,0.16585,0.72241,1.12436,0.98674,0.94705,0.98174,0.73722,0.14404,0.6135,1.0339,4.456e-05,4.456e-05,4.456e-05
114,37697.7,0.16853,0.73509,1.13418,0.99734,0.95329,0.98307,0.73272,0.14538,0.60363,1.04073,4.4065e-05,4.4065e-05,4.4065e-05
115,37931.8,0.16403,0.72739,1.12017,0.99136,0.95674,0.98425,0.72982,0.14754,0.61067,1.0399,4.357e-05,4.357e-05,4.357e-05
116,38182.5,0.16796,0.7191,1.12987,0.99468,0.95132,0.9857,0.73916,0.1412,0.60579,1.02823,4.3075e-05,4.3075e-05,4.3075e-05
117,38414.9,0.17125,0.72072,1.14643,0.98588,0.94911,0.98552,0.73651,0.14154,0.60644,1.02719,4.258e-05,4.258e-05,4.258e-05
118,38691,0.16093,0.73569,1.10524,0.98963,0.94656,0.98107,0.74076,0.14024,0.59039,1.02421,4.2085e-05,4.2085e-05,4.2085e-05
119,38929.9,0.16222,0.70146,1.11328,0.98675,0.94737,0.9824,0.74217,0.13956,0.57835,1.02084,4.159e-05,4.159e-05,4.159e-05
120,39180.8,0.17071,0.72198,1.13949,0.99206,0.95422,0.98053,0.73995,0.14091,0.57835,1.02492,4.1095e-05,4.1095e-05,4.1095e-05
121,39411,0.16525,0.71589,1.12309,0.97917,0.95697,0.98428,0.74265,0.14027,0.58361,1.01969,4.06e-05,4.06e-05,4.06e-05
122,39664.1,0.16648,0.71839,1.12486,0.99131,0.9542,0.98343,0.7253,0.15097,0.61758,1.05441,4.0105e-05,4.0105e-05,4.0105e-05
123,39894.8,0.16907,0.71309,1.13118,0.98946,0.95504,0.9813,0.73837,0.14312,0.59668,1.0289,3.961e-05,3.961e-05,3.961e-05
124,40147.2,0.16295,0.69592,1.10841,0.9894,0.95035,0.98136,0.74084,0.13786,0.58614,1.01714,3.9115e-05,3.9115e-05,3.9115e-05
125,40377.6,0.16492,0.71299,1.11799,0.99277,0.94911,0.97963,0.73728,0.14156,0.59458,1.01864,3.862e-05,3.862e-05,3.862e-05
126,40630,0.15738,0.69294,1.08932,0.99471,0.95648,0.9806,0.7439,0.13996,0.58944,1.02365,3.8125e-05,3.8125e-05,3.8125e-05
127,40860.9,0.16061,0.69463,1.098,0.99115,0.95165,0.98216,0.73958,0.14056,0.59212,1.02226,3.763e-05,3.763e-05,3.763e-05
128,41112.2,0.16095,0.6963,1.10342,0.98686,0.95583,0.98239,0.74305,0.13807,0.58296,1.01738,3.7135e-05,3.7135e-05,3.7135e-05
129,41342.6,0.16725,0.70689,1.12226,0.99068,0.95165,0.98243,0.74188,0.13871,0.57793,1.01803,3.664e-05,3.664e-05,3.664e-05
130,41595.4,0.16308,0.69058,1.11662,0.9843,0.95738,0.97963,0.7501,0.13651,0.57891,1.00906,3.6145e-05,3.6145e-05,3.6145e-05
131,41829.7,0.15842,0.68615,1.09901,0.98689,0.95743,0.98592,0.75406,0.13529,0.57548,1.00612,3.565e-05,3.565e-05,3.565e-05
132,42077.5,0.1649,0.71267,1.11846,0.99211,0.96023,0.98632,0.74943,0.13628,0.56905,1.0116,3.5155e-05,3.5155e-05,3.5155e-05
133,42313.5,0.16407,0.70235,1.10932,0.99388,0.95674,0.98545,0.75261,0.13482,0.56987,1.00202,3.466e-05,3.466e-05,3.466e-05
134,42560.3,0.15986,0.69508,1.0973,0.99192,0.95674,0.9845,0.74597,0.13593,0.58871,1.00927,3.4165e-05,3.4165e-05,3.4165e-05
135,42800.3,0.16249,0.68605,1.10659,0.99734,0.95356,0.9853,0.75623,0.13491,0.57512,1.00572,3.367e-05,3.367e-05,3.367e-05
136,43043.9,0.16255,0.70547,1.11368,0.99469,0.95406,0.97966,0.74028,0.13818,0.58008,1.01516,3.3175e-05,3.3175e-05,3.3175e-05
137,43284.5,0.17038,0.71291,1.13084,0.99469,0.95256,0.98467,0.73593,0.14175,0.57995,1.02075,3.268e-05,3.268e-05,3.268e-05
138,43525.9,0.16529,0.71287,1.12606,0.9922,0.95165,0.98529,0.74571,0.13641,0.57973,1.00777,3.2185e-05,3.2185e-05,3.2185e-05
139,43768.7,0.16254,0.69355,1.10936,0.9947,0.95565,0.98493,0.74777,0.13792,0.58584,1.01322,3.169e-05,3.169e-05,3.169e-05
140,44007.4,0.16145,0.69318,1.10209,0.98942,0.95209,0.98044,0.74447,0.1401,0.57582,1.01872,3.1195e-05,3.1195e-05,3.1195e-05
141,44254.2,0.1661,0.69718,1.12004,0.98026,0.95165,0.98467,0.73935,0.14053,0.58395,1.01785,3.07e-05,3.07e-05,3.07e-05
142,44490.4,0.15959,0.68673,1.09472,0.99471,0.9561,0.98785,0.74801,0.13704,0.58146,1.01298,3.0205e-05,3.0205e-05,3.0205e-05
143,44739.1,0.16409,0.69886,1.10919,0.9937,0.95674,0.98178,0.7489,0.13626,0.57861,1.00669,2.971e-05,2.971e-05,2.971e-05
144,44973.9,0.15912,0.67924,1.09808,0.98615,0.95674,0.98354,0.75354,0.13558,0.57759,1.00339,2.9215e-05,2.9215e-05,2.9215e-05
145,45223.5,0.16068,0.67515,1.10783,0.98685,0.95472,0.98638,0.755,0.13278,0.56688,0.9986,2.872e-05,2.872e-05,2.872e-05
146,45456.3,0.15702,0.6681,1.09329,0.99605,0.9542,0.985,0.73917,0.13974,0.58355,1.01551,2.8225e-05,2.8225e-05,2.8225e-05
147,45709.2,0.1555,0.66392,1.08972,0.99333,0.95674,0.98121,0.75254,0.13451,0.57617,1.00306,2.773e-05,2.773e-05,2.773e-05
148,45940.2,0.15869,0.68972,1.09484,0.98827,0.95674,0.98556,0.74793,0.13787,0.58211,1.01272,2.7235e-05,2.7235e-05,2.7235e-05
149,46192.6,0.15726,0.64894,1.10269,0.99471,0.95645,0.98713,0.75809,0.13454,0.56553,1.00317,2.674e-05,2.674e-05,2.674e-05
150,46422.8,0.15831,0.67215,1.0931,0.98947,0.95669,0.9812,0.7469,0.13433,0.57306,1.00381,2.6245e-05,2.6245e-05,2.6245e-05
151,46674.2,0.1575,0.65727,1.09464,0.99206,0.9536,0.97875,0.74758,0.13776,0.57705,1.0102,2.575e-05,2.575e-05,2.575e-05
152,46904.8,0.16155,0.67071,1.10285,0.9947,0.95565,0.98177,0.75667,0.13186,0.56953,0.99576,2.5255e-05,2.5255e-05,2.5255e-05
153,47156.4,0.15374,0.66046,1.08412,0.98946,0.95513,0.98371,0.75795,0.13224,0.56205,0.99158,2.476e-05,2.476e-05,2.476e-05
154,47387.1,0.15673,0.67784,1.10125,0.99373,0.9542,0.98275,0.76134,0.13296,0.56339,0.99698,2.4265e-05,2.4265e-05,2.4265e-05
155,47639,0.15851,0.66052,1.09501,0.99735,0.95589,0.9818,0.75634,0.13473,0.57492,1.00142,2.377e-05,2.377e-05,2.377e-05
