epoch,video,frames,ap50,recall,zero_det_frames
94,data12,1500,100.00,100.00,0
94,data15,751,68.22,91.74,14
94,data18,500,93.05,94.60,24
94,data20,400,86.89,87.75,15
94,data21,500,23.05,56.20,72
95,data6,399,82.43,86.97,6
95,data11,745,90.34,92.75,8
95,data12,1500,100.00,100.00,0
95,data15,751,68.25,91.74,14
95,data18,500,93.05,94.60,24
95,data20,400,87.65,88.00,15
95,data21,500,22.99,56.00,73
96,data6,399,82.42,86.97,6
96,data11,745,90.33,92.75,8
96,data12,1500,100.00,100.00,0
96,data15,751,68.29,91.74,14
96,data18,500,93.05,94.80,23
96,data20,400,87.65,88.00,15
96,data21,500,23.01,56.00,73
97,data6,399,82.40,86.97,6
97,data11,745,90.32,92.75,8
97,data12,1500,100.00,100.00,0
97,data15,751,68.34,91.74,14
97,data18,500,93.06,94.80,23
97,data20,400,87.65,88.00,15
97,data21,500,22.80,55.80,74
98,data6,399,82.39,86.97,6
98,data11,745,90.29,92.75,8
98,data12,1500,100.00,100.00,0
98,data15,751,68.39,91.74,14
98,data18,500,93.05,94.80,22
98,data20,400,87.65,88.00,15
98,data21,500,22.86,55.80,74
99,data6,399,82.38,86.97,8
99,data11,745,90.28,92.75,10
99,data12,1500,100.00,100.00,0
99,data15,751,68.48,91.88,14
99,data18,500,93.06,94.80,22
99,data20,400,87.65,88.00,16
99,data21,500,22.88,55.80,74
100,data6,399,82.35,86.97,8
100,data11,745,90.26,92.75,10
100,data12,1500,100.00,100.00,0
100,data15,751,68.88,92.01,14
100,data18,500,93.06,94.80,22
100,data20,400,87.65,88.00,16
100,data21,500,22.94,55.80,75
